State,County,Collection Date,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
Minnesota,Isanti,4/12/2022,4/21/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
Minnesota,Washington,4/12/2022,4/21/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,NWDP
Florida,Duval,4/13/2022,4/20/2022,EA/AM H5N1,Muscovy duck,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Duval,4/13/2022,4/20/2022,EA/AM H5N1,Muscovy duck,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Duval,4/13/2022,4/20/2022,EA/AM H5N1,Muscovy duck,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Duval,4/13/2022,4/20/2022,EA/AM H5N1,Muscovy duck,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Osceola,3/30/2022,4/5/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Kansas,Jewell,3/12/2022,4/1/2022,EA/AM H5N1,Ross's goose,Wild bird,Morbidity/Mortality,KS DWP/SCWDS
South Carolina,Colleton,3/17/2022,4/1/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,SC DNR/SCWDS
Florida,Dixie,3/18/2022,4/1/2022,EA/AM H5N1,Common loon,Wild bird,Morbidity/Mortality,FL FWCC/SCWDS
Florida,Dixie,3/18/2022,4/1/2022,EA/AM H5N1,Laughing gull,Wild bird,Morbidity/Mortality,FL FWCC/SCWDS
Florida,Dixie,3/18/2022,4/1/2022,EA/AM H5N1,Lesser scaup,Wild bird,Morbidity/Mortality,FL FWCC/SCWDS
Florida,Brevard,3/21/2022,4/1/2022,EA/AM H5N1,Herring gull,Wild bird,Morbidity/Mortality,FL FWCC/SCWDS
Wyoming,Converse,,4/21/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Park,4/18/2022,4/21/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Park,4/18/2022,4/21/2022,EA H5N1,Snow goose,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Albany,4/18/2022,4/21/2022,EA H5N1,Vulture (unidentified),Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Sheridan,4/14/2022,4/20/2022,EA H5N1,Wild turkey,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Sheridan,4/14/2022,4/20/2022,EA H5N1,Wild turkey,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Park,4/13/2022,4/20/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Albany,4/10/2022,4/15/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Fremont,4/7/2022,4/14/2022,EA/AM H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Park,3/29/2022,4/7/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Park,3/29/2022,4/7/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Park,,4/7/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Fremont,3/31/2022,4/6/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,WY GFD
Pennsylvania,Venango,3/21/2022,3/28/2022,EA H5N1,Merganser (unidentified),Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Venango,3/21/2022,3/28/2022,EA H5N1,Merganser (unidentified),Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Venango,3/21/2022,3/28/2022,EA H5N1,Merganser (unidentified),Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Venango,3/21/2022,3/28/2022,EA H5N1,Merganser (unidentified),Wild bird,Morbidity/Mortality,PA Game Commission
Pennsylvania,Venango,3/21/2022,3/28/2022,EA H5N1,Merganser (unidentified),Wild bird,Morbidity/Mortality,PA Game Commission
North Dakota,Sargent,4/18/2022,4/26/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Sargent,4/18/2022,4/26/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Dodge,4/15/2022,4/26/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Lincoln,4/8/2022,4/26/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Outagamie,4/11/2022,4/26/2022,EA/AM H5N1,Wood duck,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Winnebago,4/11/2022,4/26/2022,EA/AM H5N1,Hooded merganser,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Door,4/12/2022,4/26/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Waukesha,4/12/2022,4/26/2022,EA/AM H5N1,Wood Duck,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Ransom,4/20/2022,4/26/2022,EA/AM H5N1,Snow goose,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Jefferson,4/14/2022,4/26/2022,EA/AM H5N1,American white pelican,Wild bird,Morbidity/Mortality,NWDP
Colorado,Denver,4/20/2022,4/29/2022,EA H5N1,Green-winged teal,Wild bird,Agency harvest,NWDP
North Dakota,Towner,4/21/2022,4/29/2022,EA H5N1,Ross's goose,Wild bird,Hunter harvest,NWDP
North Dakota,Towner,4/21/2022,4/29/2022,EA/AM H5N1,Snow goose,Wild bird,Hunter harvest,NWDP
Wisconsin,Brown,4/20/2022,4/29/2022,EA/AM H5N1,Herring gull,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Brown,4/20/2022,4/29/2022,EA/AM H5N1,Herring gull,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Brown,4/20/2022,4/29/2022,EA/AM H5N1,Herring gull,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Brown,4/20/2022,4/29/2022,EA/AM H5N1,Herring gull,Wild bird,Morbidity/Mortality,NWDP
Illinois,Cook,4/18/2022,4/29/2022,EA/AM H5N1,Mallard,Wild bird,Agency harvest,NWDP
Minnesota,Anoka,4/15/2022,4/29/2022,EA H5N1,Mallard,Wild bird,Agency harvest,NWDP
Minnesota,Anoka,4/15/2022,4/29/2022,EA H5N1,Wood duck,Wild bird,Agency harvest,NWDP
Minnesota,Anoka,4/15/2022,4/29/2022,EA/AM H5N1,Wood duck,Wild bird,Agency harvest,NWDP
Minnesota,Freeborn,4/20/2022,4/29/2022,EA H5N1,American white pelican,Wild bird,Morbidity/Mortality,NWDP
Minnesota,Pine,4/20/2022,4/29/2022,EA/AM H5N1,American crow,Wild bird,Morbidity/Mortality,NWDP
Minnesota,Nicollet,4/20/2022,4/29/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NWDP
Minnesota,Nicollet,4/21/2022,4/29/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
Minnesota,Nicollet,4/21/2022,4/29/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
Vermont,Washington,4/18/2022,4/26/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Michigan,Hillsdale,3/28/2022,4/1/2022,EA/AM H5N1,Trumpeter swan,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Crawford,3/23/2022,3/30/2022,EA H5,Barred owl,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Otsego,3/23/2022,3/30/2022,EA H5,Barred owl,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Redhead duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Redhead duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,American wigeon,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Ring-necked duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Redhead duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Redhead duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Redhead duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Ring-necked duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Ring-necked duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Ring-necked duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Ring-necked duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Wood duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Wood duck,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Mallard,Wild bird,Morbidity/Mortality,MI DNR
Michigan,St. Clair,3/23/2022,3/30/2022,EA H5,Hooded merganser,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Clinton,3/4/2022,4/12/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Kent,3/4/2022,4/12/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
Florida,Sumter,4/14/2022,4/26/2022,EA H5,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Sumter,4/14/2022,4/26/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Brevard,4/15/2022,4/26/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Michigan,Presque Isle,4/7/2022,4/26/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Antrim,4/5/2022,4/26/2022,EA H5N1,Hooded merganser,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Tuscola,4/11/2022,4/26/2022,EA H5N1,Snowy owl,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Oakland,,4/26/2022,EA H5N1,Herring gull,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Oakland,4/8/2022,4/26/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Oakland,4/8/2022,4/26/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Iosco,4/9/2022,4/26/2022,EA H5N1,Wood duck,Wild bird,Morbidity/Mortality,MI DNR
North Dakota,Stutsman,4/25/2022,5/3/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Burleigh,4/21/2022,5/3/2022,EA/AM H5N1,Sandhill crane,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Burleigh,4/21/2022,5/3/2022,EA H5N1,American white pelican,Wild bird,Morbidity/Mortality,NWDP
North Dakota,LaMoure,4/21/2022,5/3/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Dickey,4/21/2022,5/3/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NWDP
North Dakota,LaMoure,4/21/2022,5/3/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Dickey,4/21/2022,5/3/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Williams,4/21/2022,5/3/2022,EA H5N1,Snow goose,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Ramsey,4/21/2022,5/3/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Benson,4/21/2022,5/3/2022,EA/AM H5N1,American crow,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Benson,4/21/2022,5/3/2022,EA/AM H5N1,American crow,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Benson,4/21/2022,5/3/2022,EA/AM H5N1,American crow,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Benson,4/21/2022,5/3/2022,EA/AM H5N1,American crow,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Benson,4/21/2022,5/3/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Stutsman,4/21/2022,5/3/2022,EA/AM H5N1,American robin,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Ramsey,4/21/2022,5/3/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Cass,4/21/2022,5/3/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Towner,4/21/2022,5/3/2022,EA/AM H5N1,American crow,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Towner,4/21/2022,5/3/2022,EA/AM H5N1,American crow,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Towner,4/21/2022,5/3/2022,EA/AM H5N1,Cooper's hawk,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Towner,4/21/2022,5/3/2022,EA/AM H5N1,Rough-legged hawk,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Stutsman,4/21/2022,5/3/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Stutsman,4/21/2022,5/3/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Divide,4/25/2022,5/3/2022,EA H5N1,Ross's goose,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Divide,4/25/2022,5/3/2022,EA/AM H5N1,Snow goose,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Divide,4/25/2022,5/3/2022,EA/AM H5N1,Snow goose,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Burleigh,4/25/2022,5/3/2022,EA H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Mercer,4/21/2022,5/3/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
North Dakota,LaMoure,4/25/2022,5/4/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NWDP
North Dakota,LaMoure,4/25/2022,5/4/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,St. Croix,4/13/2022,5/4/2022,EA/AM H5N1,Hooded merganser,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Pepin,4/13/2022,5/4/2022,EA/AM H5N1,Cooper's hawk,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,St. Croix,4/11/2022,5/4/2022,EA H5N1,Wood duck,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Milwaukee,4/16/2022,5/4/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Milwaukee,4/16/2022,5/4/2022,EA/AM H5N1,Double-crested cormorant,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Portage,4/17/2022,5/4/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Milwaukee,4/20/2022,5/4/2022,EA/AM H5N1,Herring gull,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Walworth,4/21/2022,5/4/2022,EA/AM H5N1,Wood duck,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Dane,4/22/2022,5/4/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NWDP
Wisconsin,Sheboygan,4/21/2022,5/4/2022,EA/AM H5N1,Wood duck,Wild bird,Morbidity/Mortality,NWDP
Wyoming,Albany,4/21/2022,5/4/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Fremont,,5/3/2022,EA H5,Great horned owl,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Fremont,4/22/2022,5/3/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Laramie,4/26/2022,5/3/2022,EA/AM H5N1,Owl (unidentified),Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Carbon,4/25/2022,5/2/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Carbon,4/25/2022,5/2/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,WY GFD
Maryland,Harford,4/19/2022,5/2/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,MD DNR/USGS
South Dakota,Meade,4/6/2022,5/2/2022,EA/AM H5N1,Pelican (unidentified),Wild bird,Morbidity/Mortality,SD GFP
Wyoming,Park,4/22/2022,5/2/2022,EA H5,Bald eagle,Wild bird,Morbidity/Mortality,WY GFD
Maryland,Harford,4/21/2022,4/26/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,MD Dept of Ag
Montana,Broadwater,4/22/2022,5/2/2022,EA H5,American white pelican,Wild bird,Morbidity/Mortality,MT FWP
Montana,Pondera,4/13/2022,5/2/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,MT FWP
Montana,Beaverhead,4/13/2022,5/2/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,MT FWP
Montana,Fergus,4/13/2022,5/2/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,MT FWP
Montana,Pondera,4/13/2022,5/2/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,MT FWP
Montana,Madison,4/22/2022,5/2/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,MT FWP
Montana,Fergus,4/22/2022,5/2/2022,EA H5,Common grackle,Wild bird,Morbidity/Mortality,MT FWP
Montana,Gallatin,4/19/2022,5/2/2022,EA H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,MT FWP
Montana,Madison,4/19/2022,5/2/2022,EA H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,MT FWP
Montana,Park,4/19/2022,5/2/2022,EA H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,MT FWP
Montana,Gallatin,4/19/2022,5/2/2022,EA H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,MT FWP
Montana,Gallatin,4/21/2022,5/2/2022,EA H5N1,Great blue heron,Wild bird,Morbidity/Mortality,MT FWP
Montana,Dawson,4/25/2022,5/2/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,MT FWP
Montana,Gallatin,4/26/2022,5/2/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,MT FWP
Minnesota,Chisago,4/29/2022,5/6/2022,EA/AM H5N1,Common loon,Wild bird,Morbidity/Mortality,MN DNR
New York,Suffolk,4/4/2022,4/8/2022,EA H5N1,Fish crow,Wild bird,Morbidity/Mortality,NY DEC
New York,Monroe,3/29/2022,4/8/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NY DEC
New York,Onondaga,3/30/2022,4/12/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Suffolk,4/7/2022,4/12/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,NY DEC
New York,Suffolk,4/7/2022,4/12/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,NY DEC
New York,Suffolk,4/1/2022,4/12/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Suffolk,4/7/2022,4/12/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,NY DEC
New York,Suffolk,4/11/2022,4/19/2022,EA/AM H5N1,Sanderling,Wild bird,Morbidity/Mortality,NY DEC
New York,Clinton,4/6/2022,4/19/2022,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NY DEC
New York,Livingston,4/11/2022,4/20/2022,EA H5,Swan (unidentified),Wild bird,Morbidity/Mortality,NY DEC
New York,Wayne,4/12/2022,4/20/2022,EA/AM H5N1,Turkey vulture,Wild bird,Morbidity/Mortality,NY DEC
New York,Nassau,4/6/2022,4/20/2022,EA/AM H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,NY DEC
New York,Albany,4/19/2022,5/2/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
New York,Saratoga,4/27/2022,5/3/2022,EA H5,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
Wyoming,Teton,4/27/2022,5/5/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Teton,4/26/2022,5/5/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Sweetwater,,5/5/2022,EA H5N1,Great horned owl,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Albany,4/29/2022,5/5/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,WY GFD
Florida,Brevard,4/28/2022,5/5/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Brevard,4/28/2022,5/5/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Brevard,4/5/2022,4/12/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,4/2/2022,4/12/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Miami-Dade,4/5/2022,4/12/2022,EA H5,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Clay,4/5/2022,4/12/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Clay,4/5/2022,4/12/2022,EA/AM H5N1,Muscovy duck,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Clay,4/5/2022,4/12/2022,EA/AM H5N1,Muscovy duck,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Clay,4/5/2022,4/12/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Pasco,4/4/2022,4/12/2022,EA/AM H5N1,Lesser scaup,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Pasco,4/4/2022,4/12/2022,EA/AM H5N1,Muscovy duck,Wild bird,Morbidity/Mortality,FL FWCC
New York,Clinton,3/29/2022,4/8/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,NY DEC
Michigan,Livingston,4/22/2022,4/29/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Roscommon,4/22/2022,4/29/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Tuscola,4/22/2022,4/29/2022,EA H5N1,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Chippewa,4/22/2022,4/29/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Schoolcraft,4/22/2022,4/29/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Iosco,4/22/2022,4/29/2022,EA H5N1,Snowy owl,Wild bird,Morbidity/Mortality,MI DNR
Florida,Collier,4/20/2022,4/28/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Collier,4/20/2022,4/28/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Montana,Gallatin,4/20/2022,4/28/2022,EA H5,American white pelican,Wild bird,Morbidity/Mortality,MT FWP
Wyoming,Sheridan,4/19/2022,4/28/2022,EA H5N1,Red-tailed hawk,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Teton,4/21/2022,4/28/2022,EA H5N1,Black-billed magpie,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Teton,4/21/2022,4/28/2022,EA H5N1,Black-billed magpie,Wild bird,Morbidity/Mortality,WY GFD
Wyoming,Teton,4/21/2022,4/28/2022,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,WY GFD
New York,Wayne,4/12/2022,4/28/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
Montana,Gallatin,4/20/2022,4/28/2022,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,MT FWP
Florida,Manatee,4/20/2022,4/28/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Manatee,4/20/2022,4/28/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
New York,Albany,4/15/2022,4/28/2022,EA/AM H5N1,Great horned owl,Wild bird,Morbidity/Mortality,NY DEC
New York,Yates,4/6/2022,4/28/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,NY DEC
Florida,Hillsborough,4/22/2022,4/28/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Hillsborough,4/22/2022,4/28/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Alachua,4/19/2022,4/26/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Alachua,4/19/2022,4/26/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Brevard,4/16/2022,4/26/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,4/15/2022,4/26/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Duval,4/13/2022,4/26/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Duval,4/13/2022,4/26/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Duval,4/13/2022,4/26/2022,EA H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Duval,4/13/2022,4/26/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
South Dakota,Clark,4/19/2022,4/26/2022,EA/AM H5N1,Bald eagle,Wild bird,Morbidity/Mortality,SD GFP
Florida,Brevard,3/17/2022,4/8/2022,EA H5N1,Royal tern,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Brevard,3/17/2022,4/8/2022,EA H5N1,Royal tern,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Brevard,3/31/2022,4/8/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Citrus,3/31/2022,4/8/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Citrus,3/31/2022,4/8/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Citrus,3/31/2022,4/8/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Citrus,3/31/2022,4/8/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
Florida,Citrus,3/31/2022,4/8/2022,EA H5,Black vulture,Wild bird,Morbidity/Mortality,FL FWCC
New York,Onondaga,4/11/2022,4/15/2022,EA/AM H5N1,Wood duck,Wild bird,Morbidity/Mortality,NY DEC
